City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Vanimo,PG,85.15,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
12,Hithadhoo,MV,78.35,moderate rain,-0.6,73.0833,Scoop Guest House
14,Along,IN,76.64,scattered clouds,28.1667,94.7667,Hotel West
17,Hambantota,LK,80.87,broken clouds,6.1241,81.1185,Bungalow 63
22,Albany,US,83.05,overcast clouds,42.6001,-73.9662,
29,Cayenne,GF,80.1,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
31,Martapura,ID,82.49,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
33,Dingle,PH,84.31,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
35,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
37,Bethel,US,83.25,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
40,Rong Kwang,TH,78.28,overcast clouds,18.339,100.3174,Rong Kwang Hotel
44,Butaritari,KI,82.78,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
48,High Rock,BS,82.42,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
60,Ewa Beach,US,87.75,clear sky,21.3156,-158.0072,Base Lodging
61,Katangli,RU,75.11,scattered clouds,51.7102,143.2326,
63,Kapoeta,SS,76.82,overcast clouds,4.7717,33.5903,Eastgate Hotel
64,Axim,GH,75.74,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
65,Eyl,SO,80.33,few clouds,7.9803,49.8164,Amiin Hotel
69,Ocala,US,77.27,clear sky,29.1872,-82.1401,Golden Palms Inn & Suites
72,Hilo,US,85.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
82,Jinchang,CN,78.62,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
84,Nago,JP,83.25,moderate rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
85,Tucupita,VE,75.18,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
89,Mount Pleasant,US,75.34,heavy intensity rain,32.7941,-79.8626,Best Western Patriots Point
90,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
91,Bandarbeyla,SO,79.84,overcast clouds,9.4942,50.8122,JABIR HOTEL
94,Parli,IN,76.77,overcast clouds,18.8486,76.5297,Hotel Arya Executive
95,Faanui,PF,78.67,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
104,Aklavik,CA,81.34,few clouds,68.2191,-135.0107,Aklavik Inn
106,Murgab,TM,81.82,clear sky,37.4966,61.9714,Wepa Nurlyýew
109,Tigzirt,DZ,79.36,overcast clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
112,Tura,IN,77.04,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
114,Afration,GR,83.43,clear sky,38.45,23.6833,Lefkadi
117,Salinas,US,77.0,few clouds,36.6777,-121.6555,Laurel Inn & Conference Center
119,Sungairaya,ID,82.54,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
121,Zalantun,CN,79.74,clear sky,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
122,Khairagarh,IN,86.38,broken clouds,26.95,77.8167,Saleem Bhai Fruit Co.
124,Prainha,BR,77.58,overcast clouds,-1.8,-53.48,Casa Rocha
126,Auki,SB,84.88,few clouds,-8.7676,160.7034,Auki Motel
127,Farmington,US,86.68,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
128,Tezu,IN,81.46,scattered clouds,27.9167,96.1667,Circuit House
132,Zhangye,CN,80.92,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
135,Hamilton,US,86.63,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
136,Lanxi,CN,82.45,overcast clouds,29.2195,119.477,Shangri-La Hotel
139,Helong,CN,82.36,few clouds,42.5397,128.9972,Helong Hotel
145,Hami,CN,84.51,overcast clouds,42.8,93.45,Laoyutang Resort
150,Fuerte Olimpo,PY,77.76,clear sky,-21.0415,-57.8738,Hospedaje DAMI
153,Seoul,KR,85.39,broken clouds,37.5683,126.9778,롯데호텔 서울
155,Thanh Hoa,VN,83.5,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
159,Marawi,PH,76.75,broken clouds,7.9986,124.2928,Derogongan Residence
160,Mae Ramat,TH,77.79,overcast clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
161,Matara,LK,80.19,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
165,Sur,OM,86.94,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
172,Chegdomyn,RU,79.77,light rain,51.1167,133.0167,Gostinitsa Bureya
174,Kavieng,PG,85.21,clear sky,-2.5744,150.7967,Nusa Island Retreat
181,Conceicao Do Araguaia,BR,76.03,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
182,Nikolayevsk-Na-Amure,RU,87.44,clear sky,53.1406,140.73,Mini-hotel «Quiet Harbor»
185,Lorengau,PG,85.69,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
190,Atuona,PF,77.25,clear sky,-9.8,-139.0333,Villa Enata
192,Erenhot,CN,80.64,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
199,Tuktoyaktuk,CA,77.0,few clouds,69.4541,-133.0374,End of The Road Ltd.
200,Cockburn Town,TC,82.15,few clouds,21.4612,-71.1419,Osprey Beach Hotel
201,Korla,CN,83.3,few clouds,41.7597,86.1469,Gulisitan Hotel
202,Jasper,US,89.65,clear sky,37.2001,-94.3502,Guest House Motel
206,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
207,Urusha,RU,75.9,broken clouds,54.05,122.9,Dom Otdykha Lokomotivnykh Brigad
209,Yerbogachen,RU,75.69,broken clouds,61.2767,108.0108,
210,Portland,US,80.64,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
214,Norman Wells,CA,78.84,scattered clouds,65.282,-126.8329,Heritage Hotel
216,Naze,JP,81.52,moderate rain,28.3667,129.4833,Shishime Hotel
218,Aswan,EG,85.24,clear sky,24.0934,32.907,Nuba Nile
223,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
231,Nabire,ID,84.78,clear sky,-3.3667,135.4833,Hotel Nusantara I
232,Central Point,US,86.29,clear sky,42.376,-122.9164,Courtyard by Marriott Medford Airport
234,Viransehir,TR,78.19,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
235,Fairbanks,US,85.6,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
236,Acajutla,SV,80.46,broken clouds,13.5928,-89.8275,Laureles
239,Manuk Mangkaw,PH,84.76,overcast clouds,4.8,119.85,
240,Tautira,PF,76.59,light rain,-17.7333,-149.15,Pension Oaoa
242,Avera,US,75.25,overcast clouds,33.194,-82.5271,
244,Jaisalmer,IN,85.69,overcast clouds,26.9147,70.9181,Hotel Fifu
246,Angoram,PG,87.15,broken clouds,-4.0625,144.0661,
251,Burley,US,88.29,clear sky,42.5357,-113.7928,Fairfield Inn & Suites by Marriott Burley
253,Alta Floresta,BR,75.07,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
254,Brownsville,US,88.09,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
255,Padang,ID,75.25,clear sky,-0.9492,100.3543,Mercure Padang
257,Kimbe,PG,88.52,few clouds,-5.5502,150.1429,Kimbe Bay Hotel
258,Dzilam Gonzalez,MX,82.22,broken clouds,21.2833,-88.9333,posadas
261,Baculin,PH,85.77,light rain,7.4525,126.5842,Baculin Cove Beach Resort
265,Atambua,ID,78.19,few clouds,-9.1061,124.8925,Kost Alfa Flat
268,Safaga,EG,85.35,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
274,Harper,LR,76.03,broken clouds,4.375,-7.7169,Screensaver
276,Kapit,MY,82.8,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
280,Tateyama,JP,79.16,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
284,East Foothills,US,77.97,clear sky,37.3811,-121.8175,Lucid Air Duct Cleaning
285,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
296,Buala,SB,83.8,light rain,-8.145,159.5921,Maringe Lagoon Lodge
298,Roquetas De Mar,ES,79.61,clear sky,36.7642,-2.6148,Mediterráneo Bay Hotel and Resort
300,Pinalejo,HN,77.97,overcast clouds,15.3833,-88.4,OBED TOPVIT MENJIVAR
301,Malindi,KE,75.47,clear sky,-3.2175,40.1191,African House Resort
302,Boyolangu,ID,78.08,overcast clouds,-8.1181,111.8935,Yos ega cv
304,Victoria,HK,82.33,light rain,22.2855,114.1577,Mini Central
305,Sabha,LY,87.39,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
307,San Patricio,US,88.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
