City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Norman Wells,65.282,-126.8329,77.04,36,20,8.05,few clouds
1,Hermanus,-34.4187,19.2345,60.1,67,1,10.25,clear sky
2,Butaritari,3.0707,172.7902,82.29,78,90,15.79,overcast clouds
3,Sabzevar,36.2126,57.6819,83.48,23,0,13.8,clear sky
4,Grindavik,63.8424,-22.4338,49.95,93,100,10.36,overcast clouds
5,Narsaq,60.9167,-46.05,53.82,74,20,5.53,few clouds
6,Pisco,-13.7,-76.2167,63.01,82,0,8.05,clear sky
7,Leirvik,59.7798,5.5005,60.62,92,100,11.48,moderate rain
8,Shellbrook,53.2168,-106.4011,52.83,91,100,2.84,light rain
9,Bathsheba,13.2167,-59.5167,83.01,78,75,18.41,broken clouds
10,Saskylakh,71.9167,114.0833,55.94,48,68,7.02,broken clouds
11,Olgina,59.3953,28.1253,66.24,71,100,2.84,overcast clouds
12,Te Anau,-45.4167,167.7167,44.76,89,57,3.65,broken clouds
13,Busselton,-33.65,115.3333,47.17,77,0,5.95,clear sky
14,Inhambane,-23.865,35.3833,68.34,81,49,8.46,scattered clouds
15,New Norfolk,-42.7826,147.0587,41.72,88,67,1.01,broken clouds
16,Georgetown,5.4112,100.3354,84.13,84,20,3.44,few clouds
17,Sao Paulo De Olivenca,-3.3783,-68.8725,79.74,69,99,1.81,overcast clouds
18,Rikitea,-23.1203,-134.9692,72.01,75,86,15.77,light rain
19,Coracao De Jesus,-16.6853,-44.365,68.25,50,0,9.15,clear sky
20,East London,-33.0153,27.9116,68.94,40,0,9.44,clear sky
21,Jamestown,42.097,-79.2353,80.53,68,100,13.0,overcast clouds
22,Kapaa,22.0752,-159.319,82.72,80,100,17.27,overcast clouds
23,Bluff,-46.6,168.3333,45.81,78,93,24.23,overcast clouds
24,Pangai,-19.8,-174.35,78.91,83,40,10.36,scattered clouds
25,Yambio,4.5721,28.3955,68.23,92,85,1.36,light rain
26,Cherskiy,68.75,161.3,53.94,54,100,8.41,overcast clouds
27,Tulum,20.2167,-87.4667,84.27,70,54,8.01,broken clouds
28,Fethiye,36.6217,29.1164,73.27,47,0,5.12,clear sky
29,Sakaraha,-22.9,44.5333,58.46,77,0,5.35,clear sky
30,Hithadhoo,-0.6,73.0833,81.5,74,72,8.14,heavy intensity rain
31,Nikolskoye,59.7035,30.7861,66.09,67,80,5.37,broken clouds
32,Ushuaia,-54.8,-68.3,40.66,52,75,6.91,broken clouds
33,Lebu,-37.6167,-73.65,47.73,69,75,6.29,broken clouds
34,Nioro,13.35,-15.75,80.06,77,43,10.29,scattered clouds
35,Nyurba,63.2842,118.3319,70.41,57,36,4.76,scattered clouds
36,Kaitangata,-46.2817,169.8464,48.16,77,57,9.1,broken clouds
37,Severo-Kurilsk,50.6789,156.125,54.46,75,84,14.92,broken clouds
38,Dunedin,-45.8742,170.5036,48.79,74,30,3.0,scattered clouds
39,Broome,42.2506,-75.833,85.68,56,0,9.22,clear sky
40,Aleksandrov Gay,50.147,48.5704,54.34,88,49,5.57,scattered clouds
41,Bredasdorp,-34.5322,20.0403,57.88,60,0,5.37,clear sky
42,Tukrah,32.5341,20.5791,77.27,78,0,7.43,clear sky
43,Udalguri,26.7667,92.1333,76.37,92,38,3.33,scattered clouds
44,Ahipara,-35.1667,173.1667,56.03,75,100,6.42,overcast clouds
45,Udachnyy,66.4167,112.4,70.56,47,88,11.88,overcast clouds
46,Waingapu,-9.6567,120.2641,77.07,88,89,7.67,overcast clouds
47,Angangueo,19.6194,-100.2853,55.31,92,95,5.88,overcast clouds
48,Jertih,5.7336,102.4897,75.45,92,100,3.42,overcast clouds
49,Houma,29.5958,-90.7195,82.99,81,75,5.75,broken clouds
50,Mataura,-46.1927,168.8643,45.48,90,84,3.67,broken clouds
51,Beloha,-25.1667,45.05,63.23,71,0,12.62,clear sky
52,Petropavlovsk-Kamchatskiy,53.0452,158.6483,59.59,63,75,20.13,light rain
53,Khasan,42.4308,130.6434,64.35,92,86,1.72,moderate rain
54,Ponta Delgada,37.7333,-25.6667,68.72,83,75,8.05,broken clouds
55,Yellowknife,62.456,-114.3525,73.92,27,75,13.8,smoke
56,Coahuayana,18.7333,-103.6833,86.83,71,42,5.57,scattered clouds
57,Castro,-24.7911,-50.0119,52.38,79,0,4.85,clear sky
58,Saldanha,-33.0117,17.9442,59.05,92,0,15.55,clear sky
59,Ellsworth,44.5434,-68.4195,80.13,77,0,13.8,clear sky
60,Portobelo,9.55,-79.65,78.75,86,100,2.62,overcast clouds
61,Nelson Bay,-32.7167,152.15,57.0,99,100,11.99,light rain
62,Aracati,-4.5617,-37.7697,78.66,79,52,11.79,broken clouds
63,Lagoa,39.05,-27.9833,67.28,87,100,11.36,overcast clouds
64,Starkville,33.4504,-88.8184,91.06,51,20,4.61,few clouds
65,Sur,22.5667,59.5289,86.74,71,100,7.47,overcast clouds
66,Husavik,66.0449,-17.3389,47.35,94,98,2.89,overcast clouds
67,Benguela,-12.5763,13.4055,69.53,68,3,3.13,clear sky
68,Tivaouane,14.9515,-16.8129,77.34,73,100,11.68,overcast clouds
69,Ribeira Grande,38.5167,-28.7,68.2,87,9,10.89,clear sky
70,Klaksvik,62.2266,-6.589,50.92,92,100,8.3,overcast clouds
71,Yaan,7.3833,8.5667,71.46,93,64,4.32,light rain
72,Tadine,-21.55,167.8833,72.23,78,100,14.47,overcast clouds
73,Punta Arenas,-53.15,-70.9167,32.11,80,0,5.75,clear sky
74,Solnechnyy,50.7214,136.6319,78.19,59,45,3.76,scattered clouds
75,Barrow,71.2906,-156.7887,48.22,71,0,10.36,clear sky
76,Bargi,22.9833,79.8667,78.49,85,100,8.05,overcast clouds
77,Benghazi,32.1167,20.0667,78.82,70,0,11.79,clear sky
78,Tuktoyaktuk,69.4541,-133.0374,77.0,44,75,11.5,broken clouds
79,Rawson,-43.3002,-65.1023,41.92,70,98,19.53,overcast clouds
80,Sola,-13.8833,167.55,80.24,77,56,21.65,broken clouds
81,Gold Coast,-28.0,153.4333,60.24,97,100,8.05,light rain
82,Agadez,19.75,10.25,87.62,26,2,8.16,clear sky
83,Kodiak,57.79,-152.4072,54.91,88,100,13.8,light rain
84,Albion,42.2431,-84.753,75.15,91,0,6.91,clear sky
85,Bethel,41.3712,-73.414,89.69,56,0,11.5,clear sky
86,Bengkulu,-3.8004,102.2655,72.21,82,66,5.21,broken clouds
87,Gat,31.61,34.7642,76.82,100,0,2.75,clear sky
88,Puerto Ayora,-0.7393,-90.3518,76.96,85,45,8.01,scattered clouds
89,Tra Vinh,9.9347,106.3453,77.54,92,100,6.51,overcast clouds
90,Avarua,-21.2078,-159.775,80.65,65,20,17.27,few clouds
91,Geraldton,-28.7667,114.6,43.21,75,0,8.05,clear sky
92,Prado,-17.3411,-39.2208,71.76,79,7,7.87,clear sky
93,Cabo San Lucas,22.8909,-109.9124,92.61,48,0,16.11,clear sky
94,Naze,28.3667,129.4833,77.92,88,98,13.02,overcast clouds
95,Jalu,29.0331,21.5482,83.91,28,0,8.43,clear sky
96,Cairns,-16.9167,145.7667,75.07,91,40,13.8,scattered clouds
97,Lorengau,-2.0226,147.2712,84.74,73,53,14.23,broken clouds
98,Pangkalanbuun,-2.6833,111.6167,73.45,97,55,2.66,broken clouds
99,Dekar,-21.5333,21.9333,54.36,58,70,6.98,broken clouds
100,Paulo Afonso,-9.4061,-38.2147,70.02,96,89,8.39,overcast clouds
101,Bolshoy Lug,52.0779,104.0919,62.78,81,97,8.5,overcast clouds
102,Port Hardy,50.6996,-127.4199,62.78,77,75,9.22,broken clouds
103,Camacupa,-12.0167,17.4833,55.31,44,0,2.93,clear sky
104,Albany,42.6001,-73.9662,88.45,49,63,2.89,broken clouds
105,Cape Town,-33.9258,18.4232,65.37,67,20,18.41,few clouds
106,Asuncion,-25.3007,-57.6359,74.89,69,0,5.75,clear sky
107,Unecha,52.8459,32.6739,54.64,79,1,7.49,clear sky
108,Yerbogachen,61.2767,108.0108,68.56,66,74,7.29,broken clouds
109,Pemangkat,1.1667,108.9667,78.6,86,92,3.51,overcast clouds
110,Carnarvon,-24.8667,113.6333,58.6,49,0,17.11,clear sky
111,Saravan,39.7196,45.6483,57.79,62,33,6.98,scattered clouds
112,Hilo,19.7297,-155.09,86.29,88,100,6.91,light rain
113,Ponta Do Sol,32.6667,-17.1,71.01,81,10,4.68,clear sky
114,Lahat,-3.8,103.5333,68.14,87,69,2.62,broken clouds
115,Manjacaze,-24.7117,33.8828,59.72,94,0,3.65,clear sky
116,Tombouctou,20.0,-3.0,92.8,23,57,5.55,broken clouds
117,Chegutu,-18.1302,30.1407,52.79,87,37,7.29,scattered clouds
118,Bambous Virieux,-20.3428,57.7575,68.25,77,40,13.8,light rain
119,Axim,4.8699,-2.2405,75.81,80,43,9.64,scattered clouds
120,Quang Ngai,15.1167,108.8,79.74,71,100,2.33,light rain
121,Kahului,20.8947,-156.47,87.82,62,40,25.32,scattered clouds
122,Port Alfred,-33.5906,26.891,68.09,44,0,15.55,clear sky
123,Mama,58.3106,112.8986,71.8,82,100,3.13,overcast clouds
124,Urumqi,43.801,87.6005,68.95,53,0,4.47,clear sky
125,Chuy,-33.6971,-53.4616,56.05,85,75,13.27,moderate rain
126,Vaini,-21.2,-175.2,77.16,83,40,6.91,scattered clouds
