City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2022-07-01 01:29:36,19.7297,-155.09,85.28,79,100,4.0
1,Tiksi,RU,2022-07-01 01:29:36,71.6872,128.8694,40.75,67,37,5.48
2,Mataura,NZ,2022-07-01 01:29:36,-46.1927,168.8643,44.47,92,100,10.42
3,Bethel,US,2022-07-01 01:29:37,41.3712,-73.414,74.62,72,58,5.46
4,Punta Arenas,CL,2022-07-01 01:29:37,-53.15,-70.9167,28.51,93,40,4.61
5,Chuy,UY,2022-07-01 01:29:38,-33.6971,-53.4616,46.71,81,7,6.15
6,Meulaboh,ID,2022-07-01 01:29:39,4.1363,96.1285,76.32,75,100,5.61
7,Cape Town,ZA,2022-07-01 01:29:29,-33.9258,18.4232,69.39,45,0,8.01
8,Namanga,KE,2022-07-01 01:29:39,-2.5433,36.7905,55.81,93,9,5.35
9,Khatanga,RU,2022-07-01 01:29:40,71.9667,102.5,52.72,48,98,6.55
10,Albany,US,2022-07-01 01:27:50,42.6001,-73.9662,74.05,70,100,1.66
11,Genhe,CN,2022-07-01 01:29:40,50.7833,121.5167,76.05,51,100,3.83
12,Tromso,NO,2022-07-01 01:29:41,69.6496,18.957,52.38,82,5,8.05
13,Vanimo,PG,2022-07-01 01:29:41,-2.6741,141.3028,86.13,64,9,4.81
14,Yar-Sale,RU,2022-07-01 01:29:42,66.8333,70.8333,49.15,51,100,13.73
15,Souillac,MU,2022-07-01 01:29:42,-20.5167,57.5167,68.38,83,40,10.36
16,Galle,LK,2022-07-01 01:29:43,6.0367,80.217,81.03,82,16,16.62
17,Kawalu,ID,2022-07-01 01:29:43,-7.3817,108.2082,75.11,83,38,2.06
18,Geraldton,AU,2022-07-01 01:29:44,-28.7667,114.6,57.61,62,0,19.57
19,Chatham,GB,2022-07-01 01:29:36,51.3789,0.5279,55.26,87,14,1.01
20,Castro,BR,2022-07-01 01:29:44,-24.7911,-50.0119,48.06,65,0,2.08
21,Hobart,AU,2022-07-01 01:25:23,-42.8794,147.3294,50.22,71,20,13.8
22,Ushuaia,AR,2022-07-01 01:26:51,-54.8,-68.3,29.86,74,0,8.05
23,Lavrentiya,RU,2022-07-01 01:29:45,65.5833,-171.0,48.81,83,88,6.31
24,Tanout,NE,2022-07-01 01:29:45,14.9709,8.8879,86.43,43,74,10.25
25,Port Alfred,ZA,2022-07-01 01:29:46,-33.5906,26.891,62.38,41,0,8.99
26,Avarua,CK,2022-07-01 01:29:46,-21.2078,-159.775,75.25,100,75,13.8
27,Zhigansk,RU,2022-07-01 01:29:47,66.7697,123.3711,59.43,59,12,9.1
28,Marawi,PH,2022-07-01 01:29:47,7.9986,124.2928,72.18,90,92,3.02
29,Fez,MA,2022-07-01 01:29:47,34.0372,-4.9998,64.65,63,0,0.0
30,Katsuura,JP,2022-07-01 01:29:48,35.1333,140.3,82.54,76,0,11.5
31,Torbay,CA,2022-07-01 01:29:48,47.6666,-52.7314,59.29,96,100,5.01
32,Bredasdorp,ZA,2022-07-01 01:29:49,-34.5322,20.0403,55.96,44,0,6.4
33,Zhezkazgan,KZ,2022-07-01 01:29:49,47.8043,67.7144,57.18,44,0,4.47
34,Leningradskiy,RU,2022-07-01 01:29:50,69.3833,178.4167,42.26,81,81,6.38
35,Polignano A Mare,IT,2022-07-01 01:29:50,40.9959,17.2159,81.68,70,0,5.01
36,Astana,KZ,2022-07-01 01:29:51,51.1801,71.446,53.55,58,0,4.47
37,New Norfolk,AU,2022-07-01 01:29:51,-42.7826,147.0587,49.87,62,11,2.98
38,Qui Nhon,VN,2022-07-01 01:29:52,13.7667,109.2333,83.46,70,100,10.94
